id,route,element,defect_type,description,impact,fix_channel,evidence_before,retest_evidence,status,date
FD-019,/admin/opportunities/$id + /admin/commissions,"Commission creation step",unknown-intent,"No code path (server function or tracked migration) inserts a row into opportunity_commissions. UI copy claims it happens automatically on purchase/delivery. Migration history only goes back to 2026-08-17 so an untracked DB trigger cannot be ruled out statically -- needs a live check against the actual Supabase project. If no such trigger exists, the entire partner-commission lifecycle has no working create step.",blocks-core,migration,,,open,2026-08-21
FD-008,/opportunities/$id,"Retirer (withdraw) button",missing-error-state,"withdrawOpportunity only checks for a Postgres error, never affected-row-count. RLS policy opp_partner_update only allows the update when status=brouillon OR owner_side=partenaire, but the button is shown for envoyee/en_cours_analyse/offre_envoyee/en_negociation/refusee where owner_side is normally wilmet. In that common case zero rows match, no error is raised, and the handler returns {ok:true} anyway -- user sees a false success toast, row is unchanged.",blocks-core,GitHub,,,open,2026-08-21
FD-014,/admin/buyer-leads/$id,"Rejeter dialog reason select",missing-error-state,"adminRejectBuyerLead accepts a reason param from the reject dialog but never writes it to any column -- no matching column exists on buyer_leads. Contrast with the opportunity close-reason flow (adminCloseOpportunity), which does persist correctly.",degrades,GitHub,,,open,2026-08-21
FD-009,/dashboard,"Type véhicule filter",schema-drift,"Filter reads vehicle_opportunities.vehicle_type, but the creating wizard (/opportunities/new) never writes that column -- new opportunities are always null here and can never match this filter.",degrades,Lovable prompt,,,open,2026-08-21
FD-001,/vehicules/$id,"catalog.interested CTA",unknown-intent,"Routes to /chercher-un-vehicule generic wizard with no vehicle id/reference carried over; wizard has no field to receive one. Unclear if manual triage is intentional or context should be pre-filled.",degrades,Lovable prompt,,,open,2026-08-21
FD-015,/admin/opportunities/$id,"SaleListingPanel 'Transformer en offre de vente' dialog",unknown-intent,"Likely dead in normal flow: adminConvertToPurchase already auto-creates a draft sale_listings row via ensureDraftListingForPurchase, so getSaleListingByOpportunity almost always returns non-null and this manual-create branch never renders. Product decision: remove or keep as a fallback for when the auto-insert fails.",cosmetic,Lovable prompt,,,open,2026-08-21
FD-016,/admin/sale-listings/$id,"Delete/remove a listing",unknown-intent,"No delete or archive endpoint exists for sale_listings anywhere in sale-listings.functions.ts. 'Retirer' only sets status=retiree (soft-close). No code path to remove a wrongly-created draft listing.",degrades,Lovable prompt,,,open,2026-08-21
FD-002,/admin/leads,"Convertir en opportunité / Demander infos / Rejeter buttons",role-guard-mismatch,"No beforeLoad guard beyond the six-role /admin subtree gate, so sales_agent/external_agent see these buttons fully enabled, but server restricts to admin/platform_admin/sales_manager (assign) or admin/platform_admin only (request-info). Clicking fails with 'Non autorise'. Server enforces correctly -- no security impact, UX gap only.",cosmetic,Lovable prompt,,,open,2026-08-21
FD-003,/admin/partenaires,"Actif toggle / Delete",role-guard-mismatch,"Route allows sales_manager to view but userSetActive/userDelete are admin/platform_admin only server-side. sales_manager sees enabled controls that will 403.",cosmetic,Lovable prompt,,,open,2026-08-21
FD-004,/admin/affiliation,"Regenerate code / Activate-Deactivate / Delete / Create link",role-guard-mismatch,"Route allows sales_manager and company_management to view, but these mutations use a file-local admin-only check. Same visible-but-will-403 pattern as FD-002/FD-003.",cosmetic,Lovable prompt,,,open,2026-08-21
FD-011,/mes-demandes-clients,"Route guard",role-guard-mismatch,"Unlike every sibling route in this app, this file has no beforeLoad at all -- any authenticated user can navigate here directly. No actual data leak (listDemandOpportunities re-checks role server-side and returns nothing to non-staff), but inconsistent with the pattern every sibling route uses.",cosmetic,Lovable prompt,,,open,2026-08-21
FD-005,/vehicules,"Search input",missing-error-state,"Client-side filter only covers the first 60 already-fetched listings; listPublicVehicles supports a server-side q param that this page never sends. Not broken today, becomes a real gap once the catalog exceeds 60 published listings.",degrades,Lovable prompt,,,open,2026-08-21
FD-010,/opportunities/new,"Seller-only gate",missing-error-state,"Gate only activates after its own query resolves, so the full wizard UI can flash briefly for a non-seller account before the restriction screen swaps in. Writes are still protected server-side/RLS regardless -- UX gap, not a data exposure.",cosmetic,Lovable prompt,,,open,2026-08-21
FD-006,/admin/users,"Employee delete (staffDelete)",unknown-intent,"Dependency check before delete only covers vehicle_opportunities/demand_opportunities/buyer_leads assignment; does not check staff_group_members. Whether the DB has an FK cascade on that table isn't visible in generated types -- needs live schema check.",degrades,migration,,,open,2026-08-21
FD-007,/admin/users,"Group delete (groupDelete)",unknown-intent,"Deletes only from staff_groups; whether staff_group_members rows cascade-delete depends on an FK definition not visible in generated types. Needs live schema check.",degrades,migration,,,open,2026-08-21
FD-013,/mes-demandes + /espace-acheteur,"Buyer request detail/edit",unknown-intent,"No per-request detail, edit, or cancel route exists for buyers (unlike sellers, who have /opportunities/$id). May be intentional (staff-mediated only) -- needs product sign-off.",degrades,Lovable prompt,,,open,2026-08-21
FD-020,"buyer_leads / demand_opportunities / vehicle_opportunities / sale_listings / match_candidates","Delete",unknown-intent,"None of these core money-path entities support a real hard delete anywhere in the app -- only status-transition soft-closes. Likely intentional for audit-trail preservation, but needs explicit product sign-off rather than being assumed.",degrades,Lovable prompt,,,open,2026-08-21
FD-012,/opportunities/new + /opportunities/$id + /opportunities/success/$id,"getOpportunity read scoping",unknown-intent,"Selects vehicle_opportunities by id with no partenaire_id filter in the query itself -- ownership is enforced entirely by the Postgres RLS SELECT policy (opp_select_scoped). Policy reads correctly scoped on inspection, but since it is the only line of defense, needs live/staging confirmation rather than a static pass.",degrades,migration,,,open,2026-08-21
