id,phase,category,title,severity,asset,evidence_before,fix,retest_evidence,status,owner,date
F-001,Phase2,Authorization (minor),"A handful of RLS policies check only 'admin', not 'platform_admin', where sibling policies check both via has_any_role (profiles_select_self_or_admin, user_roles_select_self_or_admin, six future_admin_read policies)","Low (more restrictive, not less -- functional gap, not a security risk)","profiles, user_roles, client_quotes, cost_estimates, marketplace_inquiries, options_prioritaires, purchase_evaluations, resale_listings",evidence/phase2-rls-audit.txt,"Confirmed with Salma 2026-08-28: leave admin-only, intentional restriction -- no code change",,closed (confirmed intentional),Salma,2026-08-28
F-002,Phase2,Secrets,secret-scan.sh pattern hit on 'SUPABASE_SERVICE_ROLE_KEY' in the built bundle,Info,dist/server/assets/client.server-*.js,evidence/phase2-secret-scan.txt,"Confirmed false positive: matches the env var NAME (process.env[...]), not a leaked value, inside the server-only edge bundle that never ships to the browser. gitleaks has since run clean on every PR via pr-build.yml.",evidence/phase7-secret-scan-output-dir-fix-rerun.txt,"closed (false positive; reverified 2026-08-27 against .output/ after fixing secret-scan.sh's stale-dist/-vs-.output/ detection bug found during the Phase 7 dry-run — same server-only reference, same conclusion)",Claude,2026-08-27
F-003,Phase3,Dependency,"xlsx package: Prototype Pollution + ReDoS (GHSA-4r6h-8v6p-xvw6, GHSA-5pgg-2g8v-p4x9), no fix available from maintainer",High,src/lib/document-text.ts (OCR document-scan upload feature),evidence/phase3-dependency-static-checks.txt,"Accepted risk: browser-only blast radius, requires the uploader to open a malicious file themselves; revisit if xlsx ships a fix or replacing the library becomes worthwhile (Lovable app-code change)",,accepted-risk,Salma,2026-08-24
F-004,Phase3,Static analysis,semgrep unsafe-formatstring rule fired 10x across *.functions.ts files,Info,10 files -- see evidence for the list,evidence/phase3-dependency-static-checks.txt,"Reviewed by hand: the flagged argument is always a hardcoded string literal, never user input -- false positive",,closed (false positive),Claude,2026-08-24
F-005,Phase3,Headers,No X-Frame-Options and no CSP frame-ancestors directive -- zero clickjacking protection,Medium,src/lib/security-headers.server.ts,evidence/phase3-headers.txt,"Add X-Frame-Options: DENY (or a CSP frame-ancestors directive) -- Lovable prompt drafted, not yet sent (blocked on Lovable credits/the ADR-006 incident)",,open,Claude,2026-08-24
F-006,Phase3,Headers,"Content-Security-Policy shipped as Report-Only, not enforced",Low,src/lib/security-headers.server.ts,"evidence/phase3-headers.txt (design origin: docs/security/csp-report-only.md, ChatGPT-era pass, removed 2026-08-26 -- see ADR-009)",Intentional staged rollout per an existing code comment -- flip to enforced once real traffic is observed on a working deployment,,deferred (intentional),Salma,2026-08-24
F-007,Phase4,Test environment,Disposable staging project reconstruction gaps: ref_vehicle_categories/ref_vehicle_types tables empty; private.rate_limit_check function missing entirely,"n/a (test-environment gap, not a production defect)",apps/wilmet/staging-schema.sql,evidence/phase4-buyer-request-journey.txt,Seeded the reference tables; reconstructed private.rate_limit_check from git history plus the real public.rate_limit_check wrapper,evidence/phase4-smoke-gate.txt,closed,Claude,2026-08-25
F-008,Phase4,Functional / Authorization,"No delete UI exists anywhere in the app for any core entity, despite RLS permitting admin delete on several tables",Low,"vehicle_opportunities, buyer_leads, demand_opportunities, sale_listings",evidence/phase4-opportunity-edit-and-delete-gap.txt,"Confirmed with Salma 2026-08-28: keep soft-close only (audit-trail design), matches interaction-map.md FD-020 -- no code change",,closed (confirmed intentional),Salma,2026-08-28
F-009,Ops,Availability,"Live Lovable preview shows a full-page crash (""Un problème est survenu"") on public routes -- Lovable's build pipeline deduplicates against a stale artifact when it detects no source change, so Publish doesn't actually rebuild with corrected env vars","Critical (availability -- full outage of public routes for all real users, though not a data exposure)",Live production app (all public routes),docs/v2p/decisions/ADR-006-build-cache-dedup-nudge.md,"ADR-006's forced-source-diff nudge (PR #46) did NOT clear the crash after publishing, per Salma 2026-08-26. Root cause not yet re-diagnosed past ADR-006 at the time. Resolved 2026-08-28 via PR #71 (client.ts production fallback for the two missing VITE_ build-time env vars) -- site confirmed fully operational by Salma afterward. Root cause of why Lovable stopped injecting those vars was never independently re-diagnosed; the fallback is a mitigation, not a confirmed fix of the underlying platform issue.",Live site confirmed operational by Salma 2026-08-28 after PR #71 merged,mitigated (site operational; root cause of the missing env-var injection unconfirmed -- see PR #71 discussion),Salma,2026-08-28
F-010,Phase6,Auth hardening,"Hosted Supabase Auth minimum password length is 8, not the >=15 this project's own docs/security/hosted-auth-policy.md requires as a release-blocking control -- a caller hitting Supabase Auth directly (bypassing the app's own 15-char rule in src/lib/password-policy.ts) can set a password as short as 8 characters",High,Supabase-hosted Auth configuration (production),apps/wilmet/evidence/phase6-hosted-auth-manual-review.txt,Raised Lovable Auth settings -> Email settings -> Minimum password length from 8 to 15,apps/wilmet/evidence/phase6-hosted-auth-manual-review.txt (round 2: confirmed 15 via screenshot),closed,Salma,2026-08-26
